,condition,leader,repetition,player,ioi0,ioi1,ioi2,ioi3,ioi4,ioi5,ioi6,ioi7,ioi8,ioi9,ioi10,ioi11,ioi12,ioi13,ioi14,ioi15,ioi16,ioi17,ioi18,ioi19,ioi20,ioi21,ioi22,ioi23,ioi24,ioi25,ioi26,ioi27,ioi28,ioi29,ioi30,ioi31,ioi32,ioi33,ioi34,ioi35,ioi36,ioi37,ioi38,ioi39,ioi40,ioi41,ioi42,ioi43,ioi44,ioi45
60,DP,VN2,12,VN1,250.0,220.00000000000063,259.9999999999998,259.9999999999998,209.9999999999991,240.00000000000023,230.00000000000043,240.00000000000023,250.0,230.00000000000043,219.99999999999886,270.00000000000136,189.9999999999995,259.9999999999998,230.00000000000043,240.00000000000023,229.99999999999864,190.00000000000128,239.99999999999844,260.0000000000016,230.00000000000043,219.99999999999886,230.00000000000043,239.99999999999844,250.0,220.00000000000242,209.9999999999973,240.000000000002,230.00000000000043,209.9999999999973,270.0000000000031,229.99999999999687,240.000000000002,230.00000000000043,199.9999999999993,269.99999999999955,250.0,219.99999999999886,230.00000000000043,220.00000000000242,239.99999999999844,240.000000000002,229.99999999999687,240.000000000002,219.99999999999886,250.0
61,DP,VN2,12,VN2,240.00000000000023,240.00000000000023,239.99999999999844,250.0,250.0,210.00000000000085,259.9999999999998,240.00000000000023,230.00000000000043,209.9999999999991,210.00000000000085,269.99999999999955,259.9999999999998,220.00000000000063,250.0,219.99999999999886,240.00000000000023,230.00000000000043,230.00000000000043,239.99999999999844,230.00000000000043,250.0,199.9999999999993,230.00000000000043,240.000000000002,259.999999999998,210.00000000000085,240.000000000002,229.99999999999687,200.00000000000284,250.0,239.99999999999844,239.99999999999844,230.00000000000043,210.00000000000085,230.00000000000043,230.00000000000043,250.0,219.99999999999886,250.0,220.00000000000242,199.9999999999993,289.99999999999915,219.99999999999886,250.0,260.0000000000016
62,DP,VN2,12,VA,230.00000000000043,250.0,259.9999999999998,230.00000000000043,239.99999999999844,250.0,240.00000000000023,240.00000000000023,230.00000000000043,210.00000000000085,259.9999999999998,219.99999999999886,240.00000000000023,230.00000000000043,240.00000000000023,230.00000000000043,229.99999999999864,230.00000000000043,250.0,210.00000000000085,250.0,219.99999999999886,230.00000000000043,230.00000000000043,230.00000000000043,230.00000000000043,230.00000000000043,239.99999999999844,190.00000000000128,259.999999999998,240.000000000002,219.99999999999886,239.99999999999844,230.00000000000043,240.000000000002,289.99999999999915,179.99999999999972,190.00000000000128,259.999999999998,240.000000000002,230.00000000000043,239.99999999999844,239.99999999999844,230.00000000000043,250.0,220.00000000000242
63,DP,VN2,12,VC,259.9999999999998,210.00000000000085,250.0,229.99999999999864,270.00000000000136,169.99999999999994,279.9999999999994,220.00000000000063,269.99999999999955,240.00000000000023,240.00000000000023,240.00000000000023,229.99999999999864,220.00000000000063,259.9999999999998,230.00000000000043,240.00000000000023,210.00000000000085,199.9999999999993,269.99999999999955,250.0,219.99999999999886,220.00000000000242,229.99999999999687,240.000000000002,239.99999999999844,220.00000000000242,209.9999999999973,240.000000000002,250.0,219.99999999999886,240.000000000002,189.99999999999773,289.99999999999915,180.00000000000327,279.9999999999976,230.00000000000043,230.00000000000043,230.00000000000043,230.00000000000043,230.00000000000043,230.00000000000043,229.99999999999687,250.0,220.00000000000242,329.9999999999983
156,NR,VN2,12,VN1,230.00000000000043,250.0,179.99999999999972,220.00000000000063,219.99999999999886,200.00000000000108,199.9999999999993,220.00000000000063,219.99999999999886,210.00000000000085,219.99999999999886,220.00000000000063,210.00000000000085,209.9999999999991,220.00000000000063,219.99999999999886,190.00000000000128,169.99999999999994,250.0,219.99999999999886,210.00000000000085,209.9999999999991,209.9999999999991,210.00000000000085,230.00000000000043,190.00000000000128,189.99999999999773,230.00000000000043,190.00000000000128,219.99999999999886,220.00000000000242,219.99999999999886,199.9999999999993,230.00000000000043,210.00000000000085,199.9999999999993,230.00000000000043,210.00000000000085,209.9999999999973,200.00000000000284,229.99999999999687,210.00000000000085,201.6549999999988,208.34500000000133,219.99999999999886,220.00000000000242
157,NR,VN2,12,VN2,210.00000000000085,219.99999999999886,210.00000000000085,230.00000000000043,219.99999999999886,220.00000000000063,179.99999999999972,200.00000000000108,229.99999999999864,210.00000000000085,230.00000000000043,219.99999999999886,210.00000000000085,189.9999999999995,230.00000000000043,169.99999999999994,250.0,219.99999999999886,190.00000000000128,230.00000000000043,199.9999999999993,209.9999999999991,200.00000000000108,199.9999999999993,190.00000000000128,269.99999999999955,210.00000000000085,209.9999999999973,210.00000000000085,168.16299999999984,261.8369999999999,199.9999999999993,220.00000000000242,219.99999999999886,179.99999999999972,230.00000000000043,199.9999999999993,210.00000000000085,210.00000000000085,219.99999999999886,240.000000000002,209.9999999999973,210.00000000000085,210.00000000000085,219.99999999999886,210.00000000000085
158,NR,VN2,12,VA,220.00000000000063,189.9999999999995,230.00000000000043,219.99999999999886,210.00000000000085,220.00000000000063,209.9999999999991,230.00000000000043,199.9999999999993,210.00000000000085,209.9999999999991,230.00000000000043,210.00000000000085,219.99999999999886,220.00000000000063,209.9999999999991,210.00000000000085,179.99999999999972,230.00000000000043,160.00000000000014,250.0,209.9999999999991,230.00000000000043,210.00000000000085,199.9999999999993,210.00000000000085,210.00000000000085,229.99999999999687,210.00000000000085,199.9999999999993,210.00000000000085,199.9999999999993,220.00000000000242,209.9999999999973,230.00000000000043,199.9999999999993,200.00000000000284,179.99999999999972,239.99999999999844,210.00000000000085,210.00000000000085,209.9999999999973,250.0,200.00000000000284,219.99999999999886,199.9999999999993
159,NR,VN2,12,VC,220.00000000000063,220.00000000000063,179.99999999999972,240.00000000000023,229.99999999999864,169.99999999999994,250.0,180.00000000000148,239.99999999999844,220.00000000000063,179.99999999999972,250.0,210.00000000000085,230.00000000000043,209.5919999999989,210.40800000000104,189.9999999999995,219.99999999999886,170.0000000000017,250.0,229.99999999999864,160.00000000000014,250.00000000000176,189.99999999999773,230.00000000000043,219.99999999999886,200.00000000000284,160.00000000000014,269.99999999999955,219.99999999999886,210.00000000000085,199.9999999999993,179.99999999999972,240.000000000002,189.99999999999773,230.00000000000043,210.00000000000085,210.00000000000085,169.99999999999815,210.00000000000085,259.999999999998,200.00000000000284,229.99999999999687,196.4400000000026,233.56000000000066,229.99999999999687
252,SP,VN2,12,VN1,239.99999999999844,260.0000000000016,209.9999999999991,210.00000000000085,240.00000000000023,209.9999999999991,210.00000000000085,189.9999999999995,199.9999999999993,170.0000000000017,239.99999999999844,199.9999999999993,190.00000000000128,230.00000000000043,189.99999999999773,180.00000000000327,179.99999999999972,160.00000000000014,199.9999999999993,189.99999999999773,170.0000000000017,179.99999999999972,160.00000000000014,199.9999999999993,190.00000000000128,169.99999999999815,179.99999999999972,160.00000000000014,179.99999999999972,150.00000000000213,199.9999999999993,170.0000000000017,169.99999999999815,170.0000000000017,119.99999999999744,200.00000000000284,139.99999999999702,170.0000000000017,190.00000000000128,179.99999999999972,139.29699999999912,185.75999999999837,159.63700000000003,195.3060000000022,160.00000000000014,179.99999999999972
253,SP,VN2,12,VN2,250.0,230.00000000000043,220.00000000000063,220.00000000000063,219.99999999999886,220.00000000000063,219.99999999999886,189.9999999999995,220.00000000000242,199.9999999999993,169.99999999999815,220.00000000000242,199.9999999999993,179.99999999999972,219.99999999999886,160.00000000000014,210.00000000000085,179.99999999999972,190.00000000000128,189.99999999999773,190.00000000000128,170.0000000000017,160.00000000000014,189.99999999999773,190.00000000000128,160.00000000000014,189.99999999999773,160.00000000000014,179.99999999999972,180.00000000000327,159.9999999999966,170.0000000000017,199.9999999999993,160.00000000000014,160.00000000000014,170.0000000000017,160.00000000000014,169.99999999999815,160.00000000000014,160.00000000000014,160.00000000000014,170.0000000000017,159.9999999999966,180.00000000000327,160.00000000000014,149.99999999999858
